id	text	title
1	The Han dynasty (UK: , US: ; Chinese: 漢朝; pinyin: Hàncháo) was an imperial dynasty of China (202 BC – 9 AD, 25–220 AD), established by Liu Bang (Emperor Gao) and ruled by the House of Liu. The dynasty was preceded by the short-lived Qin dynasty (221–207 BC) and a warring interregnum known as the Chu–Han contention (206–202 BC), and it was succeeded by the Three Kingdoms period (220–280 AD). The dynasty was briefly interrupted by the Xin dynasty (9–23 AD) established by usurping regent Wang Mang, and is thus separated into two periods—the Western Han (202 BC – 9	Han dynasty
2	"AD) and the Eastern Han (25–220 AD). Spanning over four centuries, the Han dynasty is considered a golden age in Chinese history, and it has influenced the identity of the Chinese civilization ever since. Modern China's majority ethnic group refers to themselves as the ""Han people"", the Sinitic language is known as ""Han language"", and the written Chinese is referred to as ""Han characters"".The emperor was at the pinnacle of Han society. He presided over the Han government but shared power with both the nobility and appointed ministers who came largely from the scholarly gentry class. The Han Empire was"	Han dynasty
3	divided into areas directly controlled by the central government called commanderies, as well as a number of semi-autonomous kingdoms. These kingdoms gradually lost all vestiges of their independence, particularly following the Rebellion of the Seven States. From the reign of Emperor Wu (r. 141–87 BC) onward, the Chinese court officially sponsored Confucianism in education and court politics, synthesized with the cosmology of later scholars such as Dong Zhongshu. This policy endured until the fall of the Qing dynasty in 1912 AD.The Han dynasty saw an age of economic prosperity and witnessed a significant growth of the money economy first established	Han dynasty
4	during the Zhou dynasty (c. 1050–256 BC). The coinage issued by the central government mint in 119 BC remained the standard coinage of China until the Tang dynasty (618–907 AD). The period saw a number of limited institutional innovations. To finance its military campaigns and the settlement of newly conquered frontier territories, the Han government nationalized the private salt and iron industries in 117 BC, though these government monopolies were later repealed during the Eastern Han dynasty. Science and technology during the Han period saw significant advances, including the process of papermaking, the nautical steering ship rudder, the use of	Han dynasty
5	negative numbers in mathematics, the raised-relief map, the hydraulic-powered armillary sphere for astronomy, and a seismometer employing an inverted pendulum that could be used to discern the cardinal direction of distant earthquakes.The Han dynasty is known for the many conflicts it had with the Xiongnu, a nomadic steppe confederation to the dynasty's north. The Xiongnu initially had the upper hand in these conflicts. They defeated the Han in 200 BC and forced the Han to submit as a de facto inferior and vassal partner for several decades, while continuing their military raids on the dynasty's borders. This changed in 133	Han dynasty
6	BC, during the reign of Emperor Wu, when Han forces began a series of intensive military campaigns and operations against the Xiongnu. The Han ultimately defeated the Xiongnu in these campaigns, and the Xiongnu were forced to accept vassal status as Han tributaries. Additionally, the campaigns brought the Hexi Corridor and the Tarim Basin of Central Asia under Han control, split the Xiongnu into two separate confederations, and helped establish the vast trade network known as the Silk Road, which reached as far as the Mediterranean world. The territories north of Han's borders were later overrun by the nomadic Xianbei	Han dynasty
7	confederation. Emperor Wu also launched successful military expeditions in the south, annexing Nanyue in 111 BC and Dian in 109 BC. He expanded Han territory into the northern Korean Peninsula as well, where Han forces conquered Gojoseon and established the Xuantu and Lelang Commanderies in 108 BC.After 92 AD, the palace eunuchs increasingly involved themselves in dynasty's court politics, engaging in violent power struggles between the various consort clans of the empresses and empresses dowager, causing the Han's ultimate downfall. Imperial authority was also seriously challenged by large Daoist religious societies which instigated the Yellow Turban Rebellion and the Five	Han dynasty
8	Pecks of Rice Rebellion. Following the death of Emperor Ling (r. 168–189 AD), the palace eunuchs suffered wholesale massacre by military officers, allowing members of the aristocracy and military governors to become warlords and divide the empire. When Cao Pi, king of Wei, usurped the throne from Emperor Xian, the Han dynasty ceased to exist.== Etymology ==According to the Records of the Grand Historian, after the collapse of the Qin dynasty the hegemon Xiang Yu appointed Liu Bang as prince of the small fief of Hanzhong, named after its location on the Han River (in modern southwest Shaanxi). Following Liu	Han dynasty
9	Bang's victory in the Chu–Han Contention, the resulting Han dynasty was named after the Hanzhong fief.== History ===== Western Han ===China's first imperial dynasty was the Qin dynasty (221–207 BC). The Qin united the Chinese Warring States by conquest, but their regime became unstable after the death of the first emperor Qin Shi Huang. Within four years, the dynasty's authority had collapsed in the face of rebellion. Two former rebel leaders, Xiang Yu (d. 202 BC) of Chu and Liu Bang (d. 195 BC) of Han, engaged in a war to decide who would become hegemon of China, which had	Han dynasty
10	"fissured into 18 kingdoms, each claiming allegiance to either Xiang Yu or Liu Bang. Although Xiang Yu proved to be an effective commander, Liu Bang defeated him at the Battle of Gaixia (202 BC), in modern-day Anhui. Liu Bang assumed the title ""emperor"" (huangdi) at the urging of his followers and is known posthumously as Emperor Gaozu (r. 202–195 BC). Chang'an (known today as Xi'an) was chosen as the new capital of the reunified empire under Han.At the beginning of the Western Han (traditional Chinese: 西漢; simplified Chinese: 西汉; pinyin: Xīhàn), also known as the Former Han (traditional Chinese: 前漢;"	Han dynasty
